source_id,ordinal,S0_comp_valid,S1_comp_valid,S0_struct_valid,S1_struct_valid,S0_strict_stable,S1_strict_stable,S0_meta_stable,S1_meta_stable,S0_strict_sun,S1_strict_sun,S0_meta_sun,S1_meta_sun,S0_e_above_hull_eV_atom,S1_e_above_hull_eV_atom
H1A2_1200:0000,0,True,True,True,True,False,False,True,True,False,False,False,True,0.04722744696472159,0.05364901297424307
H1A2_1200:0001,1,False,False,True,True,False,False,True,True,False,False,True,True,0.06720818159277364,0.04361332533056661
H1A2_1200:0002,2,True,True,True,True,False,False,True,True,False,False,True,True,0.09906981012207083,0.08347532770019583
H1A2_1200:0003,3,True,True,True,True,False,False,True,False,False,False,True,False,0.0521231776910831,0.20453559224186435
H1A2_1200:0004,4,True,True,True,True,False,False,True,False,False,False,False,False,0.012229180307617327,0.10455915925048842
H1A2_1200:0005,5,True,True,True,True,True,True,True,True,False,False,False,False,-0.03990145840942372,-0.040335857060546765
H1A2_1200:0006,6,True,True,True,True,False,False,False,True,False,False,False,True,0.1718308457116695,0.08962316596313435
H1A2_1200:0007,7,True,True,True,True,True,True,True,True,True,True,True,True,-0.013848904820147112,-0.011469487400713518
H1A2_1200:0008,8,True,True,True,True,False,False,False,False,False,False,False,False,0.10614366678068698,0.1064350142843491
H1A2_1200:0009,9,True,True,True,True,False,False,True,True,False,False,True,True,0.03995297246643048,0.03635976606079083
H1A2_1200:0011,10,True,True,True,True,False,False,False,False,False,False,False,False,0.11078502417358393,0.7103786635473632
H1A2_1200:0012,11,True,True,True,True,False,False,False,False,False,False,False,False,0.10055932428711056,0.10368070032470822
H1A2_1200:0013,12,True,True,True,True,False,False,False,True,False,False,False,True,0.6408273136169447,0.06122364158935678
H1A2_1200:0014,13,True,True,True,True,False,False,False,False,False,False,False,False,0.20327743486973482,0.1746810336551352
H1A2_1200:0015,14,True,True,True,True,False,False,True,True,False,False,True,True,0.010046704915665394,0.009458287862442738
H1A2_1200:0016,15,True,True,True,True,False,False,True,True,False,False,True,True,0.07977477307968694,0.09715644117050726
H1A2_1200:0017,16,True,True,True,True,False,False,False,False,False,False,False,False,0.19355093675683577,0.35062014299462874
