panel,subset,stage,requests,comp_valid,struct_valid,V,valid,cov_precision,cov_recall,wdist_density,wdist_num_elems
merged_3000,all,F,3000,90.1667,99.6,90.1667,89.9333,98.9667,98.3971,0.7906,0.0797
merged_3000,all,no_rollback,3000,90.1667,99.6,90.1667,89.9333,99.1667,98.0323,0.7906,0.0797
merged_3000,all,rollback,3000,90.1667,99.6,90.1667,89.9333,99.1667,98.1428,0.7906,0.0797
merged_5000,all,F,5000,89.54,99.48,89.54,89.34,98.88,98.9388,0.7955,0.0801
merged_5000,all,no_rollback,5000,89.54,99.48,89.54,89.34,99.0,98.6182,0.7922,0.0801
merged_5000,all,rollback,5000,89.54,99.48,89.54,89.34,99.0,98.7398,0.7922,0.0801
generated_12000,all,C1_raw,12000,89.9083,99.275,89.7583,89.7583,98.0917,91.2005,1.1212,0.0882
generated_12000,all,F800,12000,89.9083,99.4917,89.9083,89.625,98.95,99.4362,0.8841,0.0861
generated_12000,0.9,C1_raw,10000,89.31,99.29,89.2,89.2,97.99,90.6036,1.2052,0.0717
generated_12000,0.9,F800,10000,89.31,99.46,89.31,89.06,98.95,99.4362,0.7889,0.0701
generated_12000,0.7,C1_raw,2000,92.9,99.2,92.55,92.55,98.6,71.1806,0.9028,0.1692
generated_12000,0.7,F800,2000,92.9,99.65,92.9,92.45,98.95,94.1742,1.3431,0.1646
original_C2_4000,all,F800_C2_panel,4000,90.45,99.475,90.45,90.075,98.875,97.5459,1.0477,0.1234
original_C2_4000,all,C2,4000,90.45,99.475,90.45,90.075,98.925,97.2916,1.0476,0.1234
original_C2_4000,all,C2_rollback,4000,90.45,99.475,90.45,90.075,98.925,97.3027,1.0476,0.1234
original_C2_4000,0.9,F800_C2_panel,2000,88.0,99.3,88.0,87.7,98.8,97.0595,0.737,0.0816
original_C2_4000,0.9,C2,2000,88.0,99.3,88.0,87.7,98.75,96.363,0.7367,0.0816
original_C2_4000,0.9,C2_rollback,2000,88.0,99.3,88.0,87.7,98.75,96.551,0.7367,0.0816
original_C2_4000,0.7,F800_C2_panel,2000,92.9,99.65,92.9,92.45,98.95,94.1742,1.3431,0.1646
original_C2_4000,0.7,C2,2000,92.9,99.65,92.9,92.45,99.1,93.9421,1.3431,0.1646
original_C2_4000,0.7,C2_rollback,2000,92.9,99.65,92.9,92.45,99.1,93.9973,1.3431,0.1646
